2026-07-13 12:32:31 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:32:31 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température à la surface du sol - Villes et FUAs' (DSD_FUA_CLIM@DF_LAND_TEMP)...
2026-07-13 12:32:32 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.2 [200] (2122557 octets)
2026-07-13 12:32:32 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Précipitations - Villes et FUAs' (DSD_FUA_CLIM@DF_PRECIP)...
2026-07-13 12:32:33 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:32:33 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations fluviales - Villes et FUA' (DSD_FUA_CLIM@DF_RIVER_FLOOD)...
2026-07-13 12:32:33 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:32:33 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température de l'air, journées chaudes, nuits tropicales et jours de gel - Villes et FUA' (DSD_FUA_CLIM@DF_TEMPERATURES)...
2026-07-13 12:32:34 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:32:34 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Risques liés au vent - Villes et FUAs' (DSD_FUA_CLIM@DF_WIND)...
2026-07-13 12:32:34 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:32:34 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par sexe et groupe d'âges - Villes et FUA' (DSD_FUA_DEMO@DF_AGE_SEX)...
2026-07-13 12:32:35 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:32:36 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par nationalité - Villes et FUA' (DSD_FUA_DEMO@DF_CITIZENSHIP)...
2026-07-13 12:32:36 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:32:36 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Taux de dépendance - Villes et FUA' (DSD_FUA_DEMO@DF_DEPEND)...
2026-07-13 12:32:37 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:32:37 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population née à l'étranger - Villes et FUA' (DSD_FUA_DEMO@DF_ORIGIN)...
2026-07-13 12:32:37 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:32:37 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Vitesse de connexion Internet - Villes et FUA' (DSD_FUA_DIGI@DF_INTERNET_SPEED)...
