2026-07-13 19:18:50 | INFO     | worldbank_connector | database:124 | Tables pretes : sources, datasets, indicators, observations.
2026-07-13 19:18:50 | INFO     | worldbank_connector | discover:95 | Recuperation des indicateurs de la source Banque mondiale id=2...
2026-07-13 19:18:51 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/source/2/indicator [200] (1083904 octets)
2026-07-13 19:18:51 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/source/2/indicator [200] (417198 octets)
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:120 | 1510 indicateurs trouves.
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Fertilizer consumption (% of fertilizer production)' (AG.CON.FERT.PT.ZS)...
2026-07-13 19:18:51 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.CON.FERT.PT.ZS [200] (328 octets)
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:198 | -> AG.CON.FERT.PT.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Fertilizer consumption (kilograms per hectare of arable land)' (AG.CON.FERT.ZS)...
2026-07-13 19:18:51 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.CON.FERT.ZS [200] (335 octets)
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:198 | -> AG.CON.FERT.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Agricultural land (sq. km)' (AG.LND.AGRI.K2)...
2026-07-13 19:18:51 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.AGRI.K2 [200] (300 octets)
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:198 | -> AG.LND.AGRI.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:18:51 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Agricultural land (% of land area)' (AG.LND.AGRI.ZS)...
2026-07-13 19:18:52 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.AGRI.ZS [200] (308 octets)
2026-07-13 19:18:52 | INFO     | worldbank_connector | discover:198 | -> AG.LND.AGRI.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:18:52 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Arable land (hectares)' (AG.LND.ARBL.HA)...
2026-07-13 19:18:52 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.ARBL.HA [200] (296 octets)
2026-07-13 19:18:52 | INFO     | worldbank_connector | discover:198 | -> AG.LND.ARBL.HA contient 66 observation(s) pour BFA.
2026-07-13 19:18:52 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Arable land (hectares per person)' (AG.LND.ARBL.HA.PC)...
2026-07-13 19:18:52 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.ARBL.HA.PC [200] (310 octets)
2026-07-13 19:18:52 | INFO     | worldbank_connector | discover:198 | -> AG.LND.ARBL.HA.PC contient 66 observation(s) pour BFA.
2026-07-13 19:18:52 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Arable land (% of land area)' (AG.LND.ARBL.ZS)...
2026-07-13 19:19:14 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.ARBL.ZS [200] (302 octets)
2026-07-13 19:19:14 | INFO     | worldbank_connector | discover:198 | -> AG.LND.ARBL.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:19:14 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Land under cereal production (hectares)' (AG.LND.CREL.HA)...
2026-07-13 19:19:26 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.CREL.HA [200] (313 octets)
2026-07-13 19:19:26 | INFO     | worldbank_connector | discover:198 | -> AG.LND.CREL.HA contient 66 observation(s) pour BFA.
2026-07-13 19:19:26 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Permanent cropland (% of land area)' (AG.LND.CROP.ZS)...
2026-07-13 19:19:39 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.CROP.ZS [200] (309 octets)
2026-07-13 19:19:39 | INFO     | worldbank_connector | discover:198 | -> AG.LND.CROP.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:19:39 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Rural land area where elevation is below 5 meters (sq. km)' (AG.LND.EL5M.RU.K2)...
2026-07-13 19:20:04 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.EL5M.RU.K2 [200] (335 octets)
2026-07-13 19:20:04 | INFO     | worldbank_connector | discover:198 | -> AG.LND.EL5M.RU.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:20:04 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Rural land area where elevation is below 5 meters (% of total land area)' (AG.LND.EL5M.RU.ZS)...
2026-07-13 19:20:24 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.EL5M.RU.ZS [200] (349 octets)
2026-07-13 19:20:24 | INFO     | worldbank_connector | discover:198 | -> AG.LND.EL5M.RU.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:20:24 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Urban land area where elevation is below 5 meters (sq. km)' (AG.LND.EL5M.UR.K2)...
2026-07-13 19:21:02 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.EL5M.UR.K2 [200] (335 octets)
2026-07-13 19:21:02 | INFO     | worldbank_connector | discover:198 | -> AG.LND.EL5M.UR.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:21:02 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Urban land area where elevation is below 5 meters (% of total land area)' (AG.LND.EL5M.UR.ZS)...
2026-07-13 19:21:13 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.EL5M.UR.ZS [200] (349 octets)
2026-07-13 19:21:13 | INFO     | worldbank_connector | discover:198 | -> AG.LND.EL5M.UR.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:21:13 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Land area where elevation is below 5 meters (% of total land area)' (AG.LND.EL5M.ZS)...
2026-07-13 19:21:32 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.EL5M.ZS [200] (340 octets)
2026-07-13 19:21:32 | INFO     | worldbank_connector | discover:198 | -> AG.LND.EL5M.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:21:32 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Forest area (sq. km)' (AG.LND.FRST.K2)...
2026-07-13 19:21:52 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.FRST.K2 [200] (294 octets)
2026-07-13 19:21:52 | INFO     | worldbank_connector | discover:198 | -> AG.LND.FRST.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:21:52 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Forest area (% of land area)' (AG.LND.FRST.ZS)...
2026-07-13 19:22:04 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.FRST.ZS [200] (302 octets)
2026-07-13 19:22:04 | INFO     | worldbank_connector | discover:198 | -> AG.LND.FRST.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:22:04 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Agricultural irrigated land (% of total agricultural land)' (AG.LND.IRIG.AG.ZS)...
2026-07-13 19:22:14 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.IRIG.AG.ZS [200] (335 octets)
2026-07-13 19:22:14 | INFO     | worldbank_connector | discover:198 | -> AG.LND.IRIG.AG.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:22:14 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Average precipitation in depth (mm per year)' (AG.LND.PRCP.MM)...
2026-07-13 19:22:34 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.PRCP.MM [200] (318 octets)
2026-07-13 19:22:34 | INFO     | worldbank_connector | discover:198 | -> AG.LND.PRCP.MM contient 66 observation(s) pour BFA.
2026-07-13 19:22:34 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Land area (sq. km)' (AG.LND.TOTL.K2)...
2026-07-13 19:22:49 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.TOTL.K2 [200] (292 octets)
2026-07-13 19:22:49 | INFO     | worldbank_connector | discover:198 | -> AG.LND.TOTL.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:22:49 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Rural land area (sq. km)' (AG.LND.TOTL.RU.K2)...
2026-07-13 19:23:01 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.TOTL.RU.K2 [200] (301 octets)
2026-07-13 19:23:01 | INFO     | worldbank_connector | discover:198 | -> AG.LND.TOTL.RU.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:23:01 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Urban land area (sq. km)' (AG.LND.TOTL.UR.K2)...
2026-07-13 19:23:09 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.LND.TOTL.UR.K2 [200] (301 octets)
2026-07-13 19:23:09 | INFO     | worldbank_connector | discover:198 | -> AG.LND.TOTL.UR.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:23:09 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Cereal production (metric tons)' (AG.PRD.CREL.MT)...
2026-07-13 19:23:17 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.PRD.CREL.MT [200] (305 octets)
2026-07-13 19:23:17 | INFO     | worldbank_connector | discover:198 | -> AG.PRD.CREL.MT contient 66 observation(s) pour BFA.
2026-07-13 19:23:17 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Crop production index (2014-2016 = 100)' (AG.PRD.CROP.XD)...
2026-07-13 19:23:27 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.PRD.CROP.XD [200] (313 octets)
2026-07-13 19:23:27 | INFO     | worldbank_connector | discover:198 | -> AG.PRD.CROP.XD contient 66 observation(s) pour BFA.
2026-07-13 19:23:27 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Food production index (2014-2016 = 100)' (AG.PRD.FOOD.XD)...
2026-07-13 19:23:44 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.PRD.FOOD.XD [200] (313 octets)
2026-07-13 19:23:44 | INFO     | worldbank_connector | discover:198 | -> AG.PRD.FOOD.XD contient 66 observation(s) pour BFA.
2026-07-13 19:23:44 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Livestock production index (2014-2016 = 100)' (AG.PRD.LVSK.XD)...
2026-07-13 19:23:48 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.PRD.LVSK.XD [200] (318 octets)
2026-07-13 19:23:48 | INFO     | worldbank_connector | discover:198 | -> AG.PRD.LVSK.XD contient 66 observation(s) pour BFA.
2026-07-13 19:23:48 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Surface area (sq. km)' (AG.SRF.TOTL.K2)...
2026-07-13 19:23:53 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.SRF.TOTL.K2 [200] (295 octets)
2026-07-13 19:23:53 | INFO     | worldbank_connector | discover:198 | -> AG.SRF.TOTL.K2 contient 66 observation(s) pour BFA.
2026-07-13 19:23:53 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Cereal yield (kg per hectare)' (AG.YLD.CREL.KG)...
2026-07-13 19:24:06 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/AG.YLD.CREL.KG [200] (303 octets)
2026-07-13 19:24:06 | INFO     | worldbank_connector | discover:198 | -> AG.YLD.CREL.KG contient 66 observation(s) pour BFA.
2026-07-13 19:24:06 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Trade in services (% of GDP)' (BG.GSR.NFSV.GD.ZS)...
2026-07-13 19:24:20 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BG.GSR.NFSV.GD.ZS [200] (305 octets)
2026-07-13 19:24:20 | INFO     | worldbank_connector | discover:198 | -> BG.GSR.NFSV.GD.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:24:20 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Communications, computer, etc. (% of service imports, BoP)' (BM.GSR.CMCP.ZS)...
2026-07-13 19:24:29 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.CMCP.ZS [200] (332 octets)
2026-07-13 19:24:29 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.CMCP.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:24:29 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Primary income payments (BoP, current US$)' (BM.GSR.FCTY.CD)...
2026-07-13 19:24:36 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.FCTY.CD [200] (316 octets)
2026-07-13 19:24:36 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.FCTY.CD contient 66 observation(s) pour BFA.
2026-07-13 19:24:36 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Imports of goods and services (BoP, current US$)' (BM.GSR.GNFS.CD)...
2026-07-13 19:24:45 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.GNFS.CD [200] (322 octets)
2026-07-13 19:24:45 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.GNFS.CD contient 66 observation(s) pour BFA.
2026-07-13 19:24:45 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Insurance and financial services (% of service imports, BoP)' (BM.GSR.INSF.ZS)...
2026-07-13 19:24:54 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.INSF.ZS [200] (334 octets)
2026-07-13 19:24:54 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.INSF.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:24:54 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Goods imports (BoP, current US$)' (BM.GSR.MRCH.CD)...
2026-07-13 19:25:00 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.MRCH.CD [200] (306 octets)
2026-07-13 19:25:00 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.MRCH.CD contient 66 observation(s) pour BFA.
2026-07-13 19:25:00 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Service imports (BoP, current US$)' (BM.GSR.NFSV.CD)...
2026-07-13 19:25:05 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.NFSV.CD [200] (308 octets)
2026-07-13 19:25:05 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.NFSV.CD contient 66 observation(s) pour BFA.
2026-07-13 19:25:05 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Charges for the use of intellectual property, payments (BoP, current US$)' (BM.GSR.ROYL.CD)...
2026-07-13 19:25:14 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.ROYL.CD [200] (347 octets)
2026-07-13 19:25:14 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.ROYL.CD contient 66 observation(s) pour BFA.
2026-07-13 19:25:14 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Imports of goods, services and primary income (BoP, current US$)' (BM.GSR.TOTL.CD)...
2026-07-13 19:25:44 | WARNING  | worldbank_connector | client:183 | Erreur HTTP 400 sur https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TOTL.CD (tentative 1/3) : 400 Client Error: Bad Request for url: https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TOTL.CD?per_page=1&format=json
2026-07-13 19:25:44 | INFO     | worldbank_connector | client:193 | Nouvelle tentative dans 5 secondes...
2026-07-13 19:25:57 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TOTL.CD [200] (338 octets)
2026-07-13 19:25:57 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.TOTL.CD contient 66 observation(s) pour BFA.
2026-07-13 19:25:57 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Transport services (% of service imports, BoP)' (BM.GSR.TRAN.ZS)...
2026-07-13 19:26:02 | WARNING  | worldbank_connector | client:183 | Erreur HTTP 400 sur https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TRAN.ZS (tentative 1/3) : 400 Client Error: Bad Request for url: https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TRAN.ZS?per_page=1&format=json
2026-07-13 19:26:02 | INFO     | worldbank_connector | client:193 | Nouvelle tentative dans 5 secondes...
2026-07-13 19:26:12 | WARNING  | worldbank_connector | client:183 | Erreur HTTP 400 sur https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TRAN.ZS (tentative 2/3) : 400 Client Error: Bad Request for url: https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TRAN.ZS?per_page=1&format=json
2026-07-13 19:26:12 | INFO     | worldbank_connector | client:193 | Nouvelle tentative dans 10 secondes...
2026-07-13 19:26:32 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TRAN.ZS [200] (320 octets)
2026-07-13 19:26:32 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.TRAN.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:26:32 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Travel services (% of service imports, BoP)' (BM.GSR.TRVL.ZS)...
2026-07-13 19:26:48 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.GSR.TRVL.ZS [200] (317 octets)
2026-07-13 19:26:48 | INFO     | worldbank_connector | discover:198 | -> BM.GSR.TRVL.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:26:48 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Foreign direct investment, net outflows (BoP, current US$)' (BM.KLT.DINV.CD.WD)...
